"iteration","model","dataset","aitchison_distance","MEC","RMSE"
144,"Dirichlet_regression","train",0.832032812671519,0.874888489418098,0.11980642207337
144,"Dirichlet_regression","test",1.24673170794488,0.773639697561083,0.177320341734267
144,"Dirichlet_regression","test",1.24673170794488,0.773639697561083,0.194125898655954
144,"Dirichlet_regression","test",1.24673170794488,0.773639697561083,0.163625179415212
144,"CLR_RF","train",0.379855563923159,0.977559462094198,0.055361236585553
144,"CLR_RF","train",0.379855563923159,0.977559462094198,0.0587106971272815
144,"CLR_RF","train",0.379855563923159,0.977559462094198,0.0462999542104561
144,"CLR_RF","test",1.06983215662857,0.861278489336175,0.14294267657301
144,"CLR_RF","test",1.06983215662857,0.861278489336175,0.146534488607044
144,"CLR_RF","test",1.06983215662857,0.861278489336175,0.129870153941945
144,"ILR_RF","train",0.386947286929574,0.976177609110932,0.053797264025682
144,"ILR_RF","train",0.386947286929574,0.976177609110932,0.0615301097461619
144,"ILR_RF","train",0.386947286929574,0.976177609110932,0.0500838313353483
144,"ILR_RF","test",1.07697301569531,0.854940289475287,0.145864894414687
144,"ILR_RF","test",1.07697301569531,0.854940289475287,0.150307149239725
144,"ILR_RF","test",1.07697301569531,0.854940289475287,0.132618545342503
192,"Dirichlet_RF","train",0.44782279137866,0.957955263169665,0.0788005162100402
192,"Dirichlet_RF","train",0.44782279137866,0.957955263169665,0.0715730092850281
192,"Dirichlet_RF","train",0.44782279137866,0.957955263169665,0.0710820854588083
192,"Dirichlet_RF","test",0.890425148442443,0.871936437623802,0.129335670271872
192,"Dirichlet_RF","test",0.890425148442443,0.871936437623802,0.139434505256862
192,"Dirichlet_RF","test",0.890425148442443,0.871936437623802,0.117792847994713
192,"Dirichlet_regression","train",0.729603917493963,0.876598481484356,0.125285900630998
192,"Dirichlet_regression","train",0.729603917493963,0.876598481484356,0.124664064672264
192,"Dirichlet_regression","train",0.729603917493963,0.876598481484356,0.129815333040254
192,"Dirichlet_regression","test",1.00462234779239,0.839617509068213,0.15630712533398
192,"Dirichlet_regression","test",1.00462234779239,0.839617509068213,0.156849804771233
